Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,Region,Product_Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD1000,2022-01-01,2022-01-02,CUST591,Arjun,Consumer,Australia,Europe,Furniture,Chairs,Ergonomic Chair,1176,1,0.19,243
ORD1001,2022-01-02,2022-01-03,CUST934,Priya,Corporate,India,Asia,Technology,Copiers,Office Desk,1509,1,0.21,218
ORD1002,2022-01-03,2022-01-04,CUST393,Arjun,Consumer,France,Europe,Technology,Copiers,Desk Phone,910,2,0.05,226
ORD1003,2022-01-04,2022-01-05,CUST677,Neha,Home Office,Germany,Europe,Furniture,Storage,Office Desk,1344,9,0.05,278
ORD1004,2022-01-05,2022-01-06,CUST726,Karan,Corporate,Australia,Oceania,Technology,Binders,Ink Cartridge,1180,3,0.01,274
ORD1005,2022-01-06,2022-01-07,CUST196,Vikram,Home Office,Canada,Oceania,Furniture,Phones,Office Desk,1145,1,0.22,-75
ORD1006,2022-01-07,2022-01-08,CUST956,Manoj,Consumer,Germany,North America,Technology,Accessories,Wireless Mouse,1774,5,0.2,194
ORD1007,2022-01-08,2022-01-09,CUST146,Anjali,Consumer,India,Europe,Technology,Chairs,Desk Phone,1094,7,0.14,375
ORD1008,2022-01-09,2022-01-10,CUST518,Vikram,Corporate,France,Asia,Office Supplies,Copiers,Office Desk,1688,6,0.25,124
ORD1009,2022-01-10,2022-01-11,CUST448,Karan,Home Office,India,Europe,Office Supplies,Binders,Ink Cartridge,171,1,0.24,191
ORD1010,2022-01-11,2022-01-12,CUST193,Neha,Home Office,India,Asia,Office Supplies,Copiers,Ergonomic Chair,516,5,0.18,487
ORD1011,2022-01-12,2022-01-13,CUST927,Neha,Home Office,USA,Oceania,Technology,Chairs,Office Desk,1288,5,0.26,427
ORD1012,2022-01-13,2022-01-14,CUST739,Ravi,Corporate,Australia,North America,Technology,Binders,Wireless Mouse,380,6,0.06,239
ORD1013,2022-01-14,2022-01-15,CUST835,Arjun,Home Office,Germany,Asia,Office Supplies,Phones,Desk Phone,1532,3,0.03,3
ORD1014,2022-01-15,2022-01-16,CUST780,Arjun,Corporate,Australia,North America,Technology,Chairs,Desk Phone,137,5,0.08,285
ORD1015,2022-01-16,2022-01-17,CUST744,Priya,Home Office,India,Europe,Technology,Copiers,Ergonomic Chair,1446,7,0.02,-170
ORD1016,2022-01-17,2022-01-18,CUST879,Manoj,Home Office,Canada,North America,Technology,Storage,Ink Cartridge,1173,5,0.16,187
ORD1017,2022-01-18,2022-01-19,CUST320,Vikram,Corporate,France,Asia,Furniture,Binders,Desk Phone,921,5,0.28,424
ORD1018,2022-01-19,2022-01-20,CUST664,Ravi,Consumer,Germany,Asia,Furniture,Binders,Desk Phone,1737,5,0.01,233
ORD1019,2022-01-20,2022-01-21,CUST292,Manoj,Home Office,Germany,Asia,Office Supplies,Phones,Laptop Stand,180,3,0.04,175
ORD1020,2022-01-21,2022-01-22,CUST258,Priya,Corporate,Australia,North America,Technology,Storage,Wireless Mouse,1735,1,0.14,143
ORD1021,2022-01-22,2022-01-23,CUST538,Priya,Consumer,India,Europe,Office Supplies,Storage,Wireless Mouse,1382,5,0.28,242
ORD1022,2022-01-23,2022-01-24,CUST791,Anjali,Consumer,Germany,Asia,Office Supplies,Accessories,Ergonomic Chair,819,9,0.09,378
ORD1023,2022-01-24,2022-01-25,CUST831,Neha,Consumer,India,North America,Technology,Binders,Wireless Mouse,393,1,0.15,-126
ORD1024,2022-01-25,2022-01-26,CUST240,Priya,Corporate,France,Oceania,Office Supplies,Accessories,Wireless Mouse,1565,3,0.01,356
ORD1025,2022-01-26,2022-01-27,CUST704,Priya,Corporate,France,Oceania,Technology,Accessories,Ergonomic Chair,1487,4,0.04,571
ORD1026,2022-01-27,2022-01-28,CUST247,Manoj,Consumer,France,Oceania,Furniture,Copiers,Wireless Mouse,855,1,0.3,465
ORD1027,2022-01-28,2022-01-29,CUST949,Ravi,Home Office,Canada,North America,Furniture,Phones,Office Desk,435,1,0.29,-46
ORD1028,2022-01-29,2022-01-30,CUST382,Ravi,Corporate,Canada,Asia,Furniture,Accessories,Laptop Stand,1265,8,0.0,229
ORD1029,2022-01-30,2022-01-31,CUST692,Manoj,Consumer,Canada,North America,Office Supplies,Binders,Ergonomic Chair,1005,2,0.29,162
ORD1030,2022-01-31,2022-02-01,CUST937,Ravi,Corporate,Germany,Oceania,Furniture,Phones,Wireless Mouse,326,8,0.19,247
ORD1031,2022-02-01,2022-02-02,CUST373,Priya,Consumer,USA,Asia,Furniture,Accessories,Laptop Stand,1234,7,0.26,33
ORD1032,2022-02-02,2022-02-03,CUST399,Manoj,Home Office,Canada,Oceania,Furniture,Binders,Desk Phone,509,2,0.14,362
